Instance name, X location, Y location, Voltage
_154_, 13.68, 13.6, 1.79992
input16, 13.68, 13.6, 1.79992
input18, 13.68, 13.6, 1.79992
input19, 13.68, 13.6, 1.79992
input47, 13.68, 13.6, 1.79992
input49, 13.68, 13.6, 1.79992
FILLER_0_2_23, 13.68, 13.6, 1.79992
_120_, 30.966, 13.6, 1.79992
_121_, 30.966, 13.6, 1.79992
_157_, 30.966, 13.6, 1.79992
_160_, 30.966, 13.6, 1.79992
_161_, 30.966, 13.6, 1.79992
input4, 30.966, 13.6, 1.79992
input13, 30.966, 13.6, 1.79992
input14, 30.966, 13.6, 1.79992
input45, 30.966, 13.6, 1.79992
_195_, 40.093, 13.6, 1.79991
_196_, 40.093, 13.6, 1.79991
_198_, 40.093, 13.6, 1.79991
_199_, 40.093, 13.6, 1.79991
_200_, 40.093, 13.6, 1.79991
_214_, 40.093, 13.6, 1.79991
input2, 40.093, 13.6, 1.79991
input3, 40.093, 13.6, 1.79991
input34, 40.093, 13.6, 1.79991
input35, 40.093, 13.6, 1.79991

