Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_27_105,VGND,li1,55.2000,87.0400,0.000007
FILLER_0_27_93,VGND,li1,51.0600,87.0400,0.000006
FILLER_0_27_87,VGND,li1,45.7700,87.0400,0.000005
FILLER_0_27_81,VGND,li1,44.1600,87.0400,0.000005
FILLER_0_27_69,VGND,li1,40.0200,87.0400,0.000005
FILLER_0_27_57,VGND,li1,34.5000,87.0400,0.000004
FILLER_0_27_54,VGND,li1,30.8200,87.0400,0.000003
FILLER_0_27_42,VGND,li1,27.6000,87.0400,0.000002
FILLER_0_27_30,VGND,li1,22.0800,87.0400,0.000002
FILLER_0_27_18,VGND,li1,16.5600,87.0400,0.000002
FILLER_0_27_6,VGND,li1,11.0400,87.0400,0.000002
FILLER_0_26_241,VGND,li1,116.6100,81.6000,0.000006
FILLER_0_26_233,VGND,li1,114.5400,81.6000,0.000006
FILLER_0_26_221,VGND,li1,109.9400,81.6000,0.000006
FILLER_0_26_209,VGND,li1,104.4200,81.6000,0.000006
FILLER_0_26_197,VGND,li1,98.9000,81.6000,0.000006
FILLER_0_26_193,VGND,li1,94.9900,81.6000,0.000006
FILLER_0_26_181,VGND,li1,91.5400,81.6000,0.000006
FILLER_0_26_169,VGND,li1,86.0200,81.6000,0.000006
FILLER_0_26_153,VGND,li1,77.7400,81.6000,0.000006
FILLER_0_26_141,VGND,li1,73.1400,81.6000,0.000005
FILLER_0_26_128,VGND,li1,67.1600,81.6000,0.000005
FILLER_0_26_116,VGND,li1,61.6400,81.6000,0.000005
FILLER_0_26_104,VGND,li1,56.1200,81.6000,0.000005
FILLER_0_26_92,VGND,li1,50.6000,81.6000,0.000004
FILLER_0_26_80,VGND,li1,43.2400,81.6000,0.000004
FILLER_0_26_73,VGND,li1,39.5600,81.6000,0.000004
FILLER_0_26_65,VGND,li1,37.2600,81.6000,0.000003
FILLER_0_26_53,VGND,li1,32.6600,81.6000,0.000003
FILLER_0_26_41,VGND,li1,27.1400,81.6000,0.000002
FILLER_0_26_29,VGND,li1,21.6200,81.6000,0.000002
FILLER_0_26_26,VGND,li1,17.9400,81.6000,0.000002
FILLER_0_26_18,VGND,li1,15.6400,81.6000,0.000002
FILLER_0_26_6,VGND,li1,11.0400,81.6000,0.000002
FILLER_0_25_237,VGND,li1,115.0000,81.6000,0.000006
FILLER_0_25_225,VGND,li1,111.7800,81.6000,0.000006
FILLER_0_25_223,VGND,li1,108.3300,81.6000,0.000006
FILLER_0_25_217,VGND,li1,106.7200,81.6000,0.000006
FILLER_0_25_205,VGND,li1,102.5800,81.6000,0.000006
FILLER_0_25_193,VGND,li1,97.0600,81.6000,0.000006
FILLER_0_25_181,VGND,li1,91.5400,81.6000,0.000006
FILLER_0_25_169,VGND,li1,86.0200,81.6000,0.000006
FILLER_0_25_167,VGND,li1,82.5700,81.6000,0.000006
FILLER_0_25_161,VGND,li1,80.9600,81.6000,0.000006
FILLER_0_25_149,VGND,li1,76.8200,81.6000,0.000006
FILLER_0_25_137,VGND,li1,71.3000,81.6000,0.000005
FILLER_0_25_125,VGND,li1,65.7800,81.6000,0.000005
FILLER_0_25_113,VGND,li1,60.2600,81.6000,0.000005
FILLER_0_25_111,VGND,li1,56.8100,81.6000,0.000005
FILLER_0_25_105,VGND,li1,55.2000,81.6000,0.000005
FILLER_0_25_93,VGND,li1,51.0600,81.6000,0.000004
FILLER_0_25_81,VGND,li1,45.5400,81.6000,0.000004
FILLER_0_25_65,VGND,li1,35.6500,81.6000,0.000003
FILLER_0_25_57,VGND,li1,33.5800,81.6000,0.000003
FILLER_0_25_54,VGND,li1,30.8200,81.6000,0.000002
FILLER_0_25_42,VGND,li1,27.6000,81.6000,0.000002
FILLER_0_25_30,VGND,li1,22.0800,81.6000,0.000002
FILLER_0_25_18,VGND,li1,16.5600,81.6000,0.000002
FILLER_0_25_6,VGND,li1,11.0400,81.6000,0.000002
FILLER_0_24_233,VGND,li1,114.0800,76.1600,0.000003
FILLER_0_24_221,VGND,li1,109.9400,76.1600,0.000003
FILLER_0_24_209,VGND,li1,104.4200,76.1600,0.000003
FILLER_0_24_197,VGND,li1,98.9000,76.1600,0.000003
FILLER_0_24_195,VGND,li1,95.4500,76.1600,0.000003
FILLER_0_24_189,VGND,li1,93.8400,76.1600,0.000003
FILLER_0_24_177,VGND,li1,89.7000,76.1600,0.000003
FILLER_0_24_165,VGND,li1,84.1800,76.1600,0.000002
FILLER_0_24_153,VGND,li1,78.6600,76.1600,0.000002
FILLER_0_24_141,VGND,li1,73.1400,76.1600,0.000002
FILLER_0_24_139,VGND,li1,69.6900,76.1600,0.000002
FILLER_0_24_133,VGND,li1,68.0800,76.1600,0.000002
FILLER_0_24_121,VGND,li1,63.9400,76.1600,0.000002
FILLER_0_24_109,VGND,li1,58.4200,76.1600,0.000002
FILLER_0_24_97,VGND,li1,52.9000,76.1600,0.000002
FILLER_0_24_85,VGND,li1,47.3800,76.1600,0.000002
