Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_4_88,VPWR,li1,46.2300,24.4800,1.799993
FILLER_0_4_82,VPWR,li1,43.7000,24.4800,1.799993
FILLER_0_4_65,VPWR,li1,36.8000,24.4800,1.799993
FILLER_0_4_53,VPWR,li1,32.6600,24.4800,1.799994
FILLER_0_4_29,VPWR,li1,20.7000,24.4800,1.799996
FILLER_0_4_22,VPWR,li1,17.0200,24.4800,1.799995
FILLER_0_3_88,VPWR,li1,46.2300,19.0400,1.799994
FILLER_0_3_69,VPWR,li1,37.4900,19.0400,1.799995
FILLER_0_3_57,VPWR,li1,34.5000,19.0400,1.799995
FILLER_0_3_55,VPWR,li1,31.0500,19.0400,1.799996
FILLER_0_3_49,VPWR,li1,29.4400,19.0400,1.799996
FILLER_0_3_37,VPWR,li1,25.3000,19.0400,1.799997
FILLER_0_3_25,VPWR,li1,19.7800,19.0400,1.799997
FILLER_0_3_3,VPWR,li1,7.3600,19.0400,1.799996
FILLER_0_2_85,VPWR,li1,44.8500,19.0400,1.799994
FILLER_0_2_79,VPWR,li1,42.3200,19.0400,1.799994
FILLER_0_2_61,VPWR,li1,34.0400,19.0400,1.799995
FILLER_0_2_49,VPWR,li1,30.8200,19.0400,1.799996
FILLER_0_2_29,VPWR,li1,19.7800,19.0400,1.799997
FILLER_0_2_27,VPWR,li1,18.1700,19.0400,1.799997
FILLER_0_2_23,VPWR,li1,17.0200,19.0400,1.799997
FILLER_0_2_3,VPWR,li1,7.3600,19.0400,1.799996
FILLER_0_1_91,VPWR,li1,47.6100,13.6000,1.799993
FILLER_0_1_79,VPWR,li1,42.0900,13.6000,1.799993
FILLER_0_1_64,VPWR,li1,35.4200,13.6000,1.799994
FILLER_0_1_47,VPWR,li1,27.3700,13.6000,1.799995
FILLER_0_1_7,VPWR,li1,8.9700,13.6000,1.799995
FILLER_0_0_90,VPWR,li1,47.3800,13.6000,1.799993
FILLER_0_0_57,VPWR,li1,32.2000,13.6000,1.799994
FILLER_0_0_35,VPWR,li1,21.8500,13.6000,1.799996
FILLER_0_0_20,VPWR,li1,15.1800,13.6000,1.799995
FILLER_0_0_6,VPWR,li1,8.5100,13.6000,1.799995
output65,VPWR,li1,7.8200,13.6000,1.799994
input64,VPWR,li1,47.1500,19.0400,1.799994
input63,VPWR,li1,45.7700,19.0400,1.799994
input62,VPWR,li1,30.1300,51.6800,1.799995
input61,VPWR,li1,36.5700,51.6800,1.799994
input60,VPWR,li1,14.0300,51.6800,1.799996
input59,VPWR,li1,20.4700,51.6800,1.799997
input58,VPWR,li1,43.4700,51.6800,1.799994
input57,VPWR,li1,7.5900,29.9200,1.799996
input56,VPWR,li1,7.5900,40.8000,1.799997
input55,VPWR,li1,43.0100,46.2400,1.799995
input54,VPWR,li1,7.5900,51.6800,1.799996
input53,VPWR,li1,7.5900,35.3600,1.799998
input52,VPWR,li1,7.5900,24.4800,1.799995
input51,VPWR,li1,7.5900,13.6000,1.799994
input50,VPWR,li1,14.0300,19.0400,1.799997
input49,VPWR,li1,14.0300,13.6000,1.799995
input48,VPWR,li1,24.1500,13.6000,1.799996
input47,VPWR,li1,16.3300,13.6000,1.799995
input46,VPWR,li1,25.5300,13.6000,1.799996
input45,VPWR,li1,28.2900,13.6000,1.799995
input44,VPWR,li1,39.3300,46.2400,1.799995
input43,VPWR,li1,26.9100,13.6000,1.799995
input42,VPWR,li1,47.1500,35.3600,1.799998
input41,VPWR,li1,8.9700,35.3600,1.799998
