Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_21_169,VPWR,li1,83.4900,68.0000,1.799985
FILLER_0_21_153,VPWR,li1,76.5900,68.0000,1.799985
FILLER_0_21_147,VPWR,li1,73.8300,68.0000,1.799986
FILLER_0_21_139,VPWR,li1,69.6900,68.0000,1.799986
FILLER_0_21_135,VPWR,li1,68.5400,68.0000,1.799986
FILLER_0_21_129,VPWR,li1,65.5500,68.0000,1.799986
FILLER_0_21_123,VPWR,li1,62.7900,68.0000,1.799987
FILLER_0_21_117,VPWR,li1,60.0300,68.0000,1.799987
FILLER_0_21_113,VPWR,li1,57.7300,68.0000,1.799987
FILLER_0_21_111,VPWR,li1,56.8100,68.0000,1.799988
FILLER_0_21_105,VPWR,li1,54.5100,68.0000,1.799988
FILLER_0_21_99,VPWR,li1,51.7500,68.0000,1.799989
FILLER_0_21_93,VPWR,li1,48.9900,68.0000,1.799989
FILLER_0_21_88,VPWR,li1,46.4600,68.0000,1.799990
FILLER_0_21_81,VPWR,li1,43.4700,68.0000,1.799990
FILLER_0_21_75,VPWR,li1,40.7100,68.0000,1.799991
FILLER_0_21_69,VPWR,li1,37.9500,68.0000,1.799991
FILLER_0_21_63,VPWR,li1,35.1900,68.0000,1.799992
FILLER_0_21_55,VPWR,li1,31.0500,68.0000,1.799993
FILLER_0_21_51,VPWR,li1,29.9000,68.0000,1.799993
FILLER_0_21_45,VPWR,li1,26.9100,68.0000,1.799994
FILLER_0_21_39,VPWR,li1,24.1500,68.0000,1.799995
FILLER_0_21_33,VPWR,li1,21.3900,68.0000,1.799996
FILLER_0_21_29,VPWR,li1,19.0900,68.0000,1.799996
FILLER_0_21_27,VPWR,li1,18.1700,68.0000,1.799995
FILLER_0_21_21,VPWR,li1,15.8700,68.0000,1.799995
FILLER_0_21_15,VPWR,li1,13.1100,68.0000,1.799995
FILLER_0_20_165,VPWR,li1,81.8800,68.0000,1.799985
FILLER_0_20_144,VPWR,li1,74.5200,68.0000,1.799986
FILLER_0_20_139,VPWR,li1,69.6900,68.0000,1.799986
FILLER_0_20_133,VPWR,li1,68.0800,68.0000,1.799986
FILLER_0_20_121,VPWR,li1,63.9400,68.0000,1.799987
FILLER_0_20_109,VPWR,li1,58.4200,68.0000,1.799987
FILLER_0_20_97,VPWR,li1,52.9000,68.0000,1.799988
FILLER_0_20_85,VPWR,li1,47.3800,68.0000,1.799989
FILLER_0_20_83,VPWR,li1,43.9300,68.0000,1.799990
FILLER_0_20_77,VPWR,li1,42.3200,68.0000,1.799991
FILLER_0_20_65,VPWR,li1,38.1800,68.0000,1.799991
FILLER_0_20_53,VPWR,li1,32.6600,68.0000,1.799993
FILLER_0_20_41,VPWR,li1,27.1400,68.0000,1.799994
FILLER_0_20_29,VPWR,li1,21.6200,68.0000,1.799996
FILLER_0_20_22,VPWR,li1,17.0200,68.0000,1.799995
FILLER_0_20_15,VPWR,li1,13.3400,68.0000,1.799995
FILLER_0_20_3,VPWR,li1,9.6600,68.0000,1.799995
FILLER_0_19_169,VPWR,li1,83.4900,62.5600,1.799997
FILLER_0_19_164,VPWR,li1,81.8800,62.5600,1.799997
FILLER_0_19_149,VPWR,li1,74.5200,62.5600,1.799997
FILLER_0_19_137,VPWR,li1,71.3000,62.5600,1.799997
FILLER_0_19_125,VPWR,li1,65.7800,62.5600,1.799997
FILLER_0_19_113,VPWR,li1,60.2600,62.5600,1.799997
FILLER_0_19_111,VPWR,li1,56.8100,62.5600,1.799998
FILLER_0_19_105,VPWR,li1,55.2000,62.5600,1.799998
FILLER_0_19_93,VPWR,li1,51.0600,62.5600,1.799998
FILLER_0_19_81,VPWR,li1,45.5400,62.5600,1.799998
FILLER_0_19_69,VPWR,li1,40.0200,62.5600,1.799998
FILLER_0_19_57,VPWR,li1,34.5000,62.5600,1.799999
FILLER_0_19_53,VPWR,li1,30.5900,62.5600,1.799999
FILLER_0_19_41,VPWR,li1,27.1400,62.5600,1.799999
FILLER_0_19_29,VPWR,li1,21.6200,62.5600,1.799999
FILLER_0_19_17,VPWR,li1,16.1000,62.5600,1.799999
FILLER_0_19_11,VPWR,li1,11.2700,62.5600,1.799999
FILLER_0_19_3,VPWR,li1,8.7400,62.5600,1.799999
FILLER_0_18_168,VPWR,li1,83.2600,62.5600,1.799997
FILLER_0_18_160,VPWR,li1,80.9600,62.5600,1.799997
FILLER_0_18_153,VPWR,li1,76.1300,62.5600,1.799997
FILLER_0_18_141,VPWR,li1,73.1400,62.5600,1.799997
FILLER_0_18_139,VPWR,li1,69.6900,62.5600,1.799997
FILLER_0_18_133,VPWR,li1,68.0800,62.5600,1.799997
FILLER_0_18_121,VPWR,li1,63.9400,62.5600,1.799997
FILLER_0_18_109,VPWR,li1,58.4200,62.5600,1.799998
FILLER_0_18_97,VPWR,li1,52.9000,62.5600,1.799998
FILLER_0_18_85,VPWR,li1,47.3800,62.5600,1.799998
FILLER_0_18_83,VPWR,li1,43.9300,62.5600,1.799998
FILLER_0_18_77,VPWR,li1,42.3200,62.5600,1.799998
