Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_21_169,VGND,li1,83.4900,70.7200,0.000013
FILLER_0_21_153,VGND,li1,76.5900,70.7200,0.000013
FILLER_0_21_147,VGND,li1,73.8300,70.7200,0.000013
FILLER_0_21_139,VGND,li1,69.6900,70.7200,0.000012
FILLER_0_21_135,VGND,li1,68.5400,70.7200,0.000012
FILLER_0_21_129,VGND,li1,65.5500,70.7200,0.000012
FILLER_0_21_123,VGND,li1,62.7900,70.7200,0.000012
FILLER_0_21_117,VGND,li1,60.0300,70.7200,0.000011
FILLER_0_21_113,VGND,li1,57.7300,70.7200,0.000011
FILLER_0_21_111,VGND,li1,56.8100,70.7200,0.000011
FILLER_0_21_105,VGND,li1,54.5100,70.7200,0.000010
FILLER_0_21_99,VGND,li1,51.7500,70.7200,0.000010
FILLER_0_21_93,VGND,li1,48.9900,70.7200,0.000010
FILLER_0_21_88,VGND,li1,46.4600,70.7200,0.000009
FILLER_0_21_81,VGND,li1,43.4700,70.7200,0.000009
FILLER_0_21_75,VGND,li1,40.7100,70.7200,0.000008
FILLER_0_21_69,VGND,li1,37.9500,70.7200,0.000008
FILLER_0_21_63,VGND,li1,35.1900,70.7200,0.000007
FILLER_0_21_55,VGND,li1,31.0500,70.7200,0.000006
FILLER_0_21_51,VGND,li1,29.9000,70.7200,0.000006
FILLER_0_21_45,VGND,li1,26.9100,70.7200,0.000005
FILLER_0_21_39,VGND,li1,24.1500,70.7200,0.000004
FILLER_0_21_33,VGND,li1,21.3900,70.7200,0.000004
FILLER_0_21_29,VGND,li1,19.0900,70.7200,0.000004
FILLER_0_21_27,VGND,li1,18.1700,70.7200,0.000004
FILLER_0_21_21,VGND,li1,15.8700,70.7200,0.000005
FILLER_0_21_15,VGND,li1,13.1100,70.7200,0.000005
FILLER_0_20_165,VGND,li1,81.8800,65.2800,0.000006
FILLER_0_20_144,VGND,li1,74.5200,65.2800,0.000005
FILLER_0_20_139,VGND,li1,69.6900,65.2800,0.000005
FILLER_0_20_133,VGND,li1,68.0800,65.2800,0.000005
FILLER_0_20_121,VGND,li1,63.9400,65.2800,0.000004
FILLER_0_20_109,VGND,li1,58.4200,65.2800,0.000004
FILLER_0_20_97,VGND,li1,52.9000,65.2800,0.000003
FILLER_0_20_85,VGND,li1,47.3800,65.2800,0.000003
FILLER_0_20_83,VGND,li1,43.9300,65.2800,0.000003
FILLER_0_20_77,VGND,li1,42.3200,65.2800,0.000003
FILLER_0_20_65,VGND,li1,38.1800,65.2800,0.000002
FILLER_0_20_53,VGND,li1,32.6600,65.2800,0.000002
FILLER_0_20_41,VGND,li1,27.1400,65.2800,0.000001
FILLER_0_20_29,VGND,li1,21.6200,65.2800,0.000001
FILLER_0_20_22,VGND,li1,17.0200,65.2800,0.000001
FILLER_0_20_15,VGND,li1,13.3400,65.2800,0.000001
FILLER_0_20_3,VGND,li1,9.6600,65.2800,0.000001
FILLER_0_19_169,VGND,li1,83.4900,65.2800,0.000006
FILLER_0_19_164,VGND,li1,81.8800,65.2800,0.000006
FILLER_0_19_149,VGND,li1,74.5200,65.2800,0.000005
FILLER_0_19_137,VGND,li1,71.3000,65.2800,0.000005
FILLER_0_19_125,VGND,li1,65.7800,65.2800,0.000005
FILLER_0_19_113,VGND,li1,60.2600,65.2800,0.000004
FILLER_0_19_111,VGND,li1,56.8100,65.2800,0.000004
FILLER_0_19_105,VGND,li1,55.2000,65.2800,0.000004
FILLER_0_19_93,VGND,li1,51.0600,65.2800,0.000003
FILLER_0_19_81,VGND,li1,45.5400,65.2800,0.000003
FILLER_0_19_69,VGND,li1,40.0200,65.2800,0.000002
FILLER_0_19_57,VGND,li1,34.5000,65.2800,0.000002
FILLER_0_19_53,VGND,li1,30.5900,65.2800,0.000002
FILLER_0_19_41,VGND,li1,27.1400,65.2800,0.000001
FILLER_0_19_29,VGND,li1,21.6200,65.2800,0.000001
FILLER_0_19_17,VGND,li1,16.1000,65.2800,0.000001
FILLER_0_19_11,VGND,li1,11.2700,65.2800,0.000001
FILLER_0_19_3,VGND,li1,8.7400,65.2800,0.000001
