net,length_um
net2,62.955µm
net3,62.13µm
net57,61.76µm
net6,61.27µm
net20,57.225µm
net7,55.905µm
net54,53.76µm
net56,52.62µm
net53,49.48µm
net11,49.16µm
net47,49.16µm
net10,46.54µm
net48,46.28µm
net65,45.16µm
clk,43.95µm
net58,43.805µm
net19,43.78µm
net55,42.805µm
net31,41.52µm
net44,40.2µm
_086_,39.96µm
net9,38.84µm
net8,38.68µm
net18,38.565µm
_097_,38.2µm
_087_,38.02µm
net32,37.52µm
_096_,35.23µm
net30,34.265µm
net62,33.595µm
net49,32.38µm
net4,32.08µm
net5,32.08µm
net33,32.08µm
net50,31.68µm
net14,31.6µm
_085_,31.58µm
net60,31.5µm
net59,31.3µm
net29,30.965µm
net61,29.745µm
_080_,29.56µm
net1,29.395µm
net12,29.03µm
net13,27.84µm
_090_,27.4µm
_072_,26.68µm
net64,26.36µm
net15,25.88µm
net23,25.82µm
net63,25.82µm
net26,25.5µm
_077_,24.12µm
_091_,23.84µm
_005_,22.84µm
net36,21.28µm
net52,21.04µm
net16,20.5µm
net51,20.1µm
_064_,19.46µm
net21,18.28µm
_093_,17.98µm
_059_,17.54µm
net37,17.42µm
a[31],16.54µm
_092_,16.48µm
_066_,16.18µm
_094_,16.12µm
_107_,15.38µm
_058_,15.26µm
_023_,13.92µm
a[30],13.16µm
_095_,12.92µm
a[0],12.86µm
a[1],12.86µm
_076_,12.74µm
_068_,12.7µm
_073_,12.38µm
_113_,12.3µm
_088_,12.2µm
_044_,11.96µm
b[7],11.92µm
net42,11.7µm
_015_,11.5µm
_047_,11.48µm
_069_,11.28µm
_004_,11.18µm
a[10],11.02µm
_104_,10.9µm
_013_,10.8µm
net43,10.78µm
_017_,10.74µm
a[8],10.56µm
_029_,10.4µm
_022_,10.3µm
_020_,10.28µm
_070_,10.2µm
_053_,10.12µm
a[24],10.1µm
_078_,9.88µm
a[11],9.64µm
a[20],9.64µm
a[21],9.64µm
a[22],9.64µm
a[23],9.64µm
a[26],9.64µm
a[27],9.64µm
a[28],9.64µm
a[4],9.64µm
a[5],9.64µm
a[9],9.64µm
b[10],9.64µm
b[11],9.64µm
b[21],9.64µm
b[22],9.64µm
b[26],9.64µm
b[30],9.64µm
b[31],9.64µm
b[4],9.64µm
b[5],9.64µm
b[8],9.64µm
net24,9.46µm
_089_,9.24µm
a[15],9.18µm
b[15],9.18µm
b[16],9.18µm
b[9],9.18µm
_034_,9.14µm
net34,9.045µm
_007_,8.8µm
_110_,8.78µm
a[12],8.72µm
a[13],8.72µm
a[14],8.72µm
a[16],8.72µm
a[17],8.72µm
a[18],8.72µm
a[19],8.72µm
a[25],8.72µm
a[2],8.72µm
a[3],8.72µm
a[6],8.72µm
a[7],8.72µm
b[0],8.72µm
b[12],8.72µm
b[13],8.72µm
b[17],8.72µm
b[18],8.72µm
b[19],8.72µm
b[1],8.72µm
b[20],8.72µm
b[23],8.72µm
b[24],8.72µm
b[25],8.72µm
b[27],8.72µm
b[28],8.72µm
b[29],8.72µm
b[2],8.72µm
b[3],8.72µm
b[6],8.72µm
net35,8.705µm
_027_,8.5µm
_009_,8.44µm
_018_,8.44µm
a[29],8.26µm
b[14],8.26µm
_074_,8.2µm
_111_,8.12µm
_103_,8.1µm
_075_,8.06µm
_002_,7.78µm
_112_,7.52µm
_038_,7.28µm
_067_,7.18µm
_003_,7.12µm
_040_,7.06µm
_101_,7.06µm
_051_,6.98µm
net39,6.865µm
_071_,6.84µm
_061_,6.74µm
_037_,6.64µm
_008_,6.3µm
_041_,6.3µm
_063_,6.3µm
_082_,6.3µm
_099_,6.3µm
_050_,6.16µm
_042_,5.84µm
net38,5.825µm
z,5.77µm
_030_,5.72µm
_056_,5.7µm
_028_,5.6µm
net40,5.6µm
_057_,5.58µm
_054_,5.52µm
_079_,5.4µm
_039_,5.38µm
_049_,5.38µm
net27,5.34µm
_014_,5.26µm
_065_,5.26µm
net22,5µm
_062_,4.94µm
_084_,4.94µm
_060_,4.76µm
_006_,4.68µm
_012_,4.58µm
_025_,4.54µm
_010_,4.46µm
_109_,4.34µm
_108_,4.22µm
_035_,4.14µm
_052_,4.08µm
_000_,3.925µm
_100_,3.88µm
_105_,3.68µm
_001_,3.54µm
_055_,3.54µm
net28,3.42µm
_048_,3.2µm
_016_,3.1µm
_024_,3.08µm
_081_,3.08µm
net17,2.96µm
net45,2.96µm
_045_,2.72µm
_033_,2.64µm
_046_,2.62µm
_032_,2.5µm
net25,2.5µm
net46,2.5µm
_043_,2.4µm
_102_,2.4µm
_021_,2.28µm
_026_,2.28µm
_083_,2.16µm
net41,2.04µm
_036_,1.84µm
_106_,1.84µm
_011_,1.82µm
_031_,1.82µm
_098_,1.26µm
_019_,1.02µm
